id;Full_name;Department;Hora_entrada;Hora_salida;worked_hours;dias_trabajados;Horas_extra_diurnas;Horas_extra_nocturnas;Ausencias;salario_base;Valor_hora_sueldo;pago_horas_extra_diurnas;pago_horas_extra_nocturnas;auxilio_transporte;deduccion_salud;Total_devengado;deduccion_pension;Total_decucciones;Total_neto_a_pagar
26;Goldarina Poxson;Support;9:19;17:16;7:57:00;19;0;4;1;3331846;21920.03947;0;109600.1974;0;133273.84;3441446.197;133273.84;266547.68;3174898.517
27;Verna Comino;Training;9:08;17:04;7:56:00;20;17;9;0;23231791;145198.6938;3085472.242;1633485.305;0;929271.64;27950748.55;929271.64;1858543.28;26092205.27
28;Selena Rive;Support;8:44;17:28;8:44:00;19;18;14;1;13088291;86107.17763;1937411.497;1506875.609;0;523531.64;16532578.11;523531.64;1047063.28;15485514.83
29;Nat Stickney;Marketing;9:06;16:58;7:52:00;19;0;4;0;21603528;142128.4737;0;710642.3684;0;864141.12;22314170.37;864141.12;1728282.24;20585888.13
30;Conney Elves;Business Development;8:55;16:34;7:39:00;19;2;5;2;26074628;171543.6053;428859.0132;1072147.533;0;1042985.12;27575634.55;1042985.12;2085970.24;25489664.31
31;Burlie Surgison;Training;8:55;16:57;8:02:00;19;19;14;1;8893977;58513.00658;1389683.906;1023977.615;0;355759.08;11307638.52;355759.08;711518.16;10596120.36
32;Venita Burnsall;Training;8:46;16:37;7:51:00;20;20;9;1;1742162;10888.5125;272212.8125;122495.7656;162000;69686.48;2298870.578;69686.48;139372.96;2159497.618
33;Cornie Burner;Marketing;8:59;16:51;7:52:00;20;12;1;2;23699644;148122.775;2221841.625;185153.4688;0;947985.76;26106639.09;947985.76;1895971.52;24210667.57
34;Cheryl Spradbery;Support;8:58;17:21;8:23:00;20;17;3;0;13430747;83942.16875;1783771.086;314783.1328;0;537229.88;15529301.22;537229.88;1074459.76;14454841.46
35;Gabriell MacAlees;Sales;8:40;16:45;8:05:00;20;17;11;0;8033188;50207.425;1066907.781;690352.0938;0;321327.52;9790447.875;321327.52;642655.04;9147792.835
36;Meara Mithun;Research and Development;9:08;17:32;8:24:00;18;8;9;2;26714377;185516.5069;1855165.069;2087060.703;0;1068575.08;30656602.77;1068575.08;2137150.16;28519452.61
37;Ally Bruckent;Accounting;8:48;17:04;8:16:00;19;5;3;1;26270802;172834.2237;1080213.898;648128.3388;0;1050832.08;27999144.24;1050832.08;2101664.16;25897480.08
38;Celeste McMichan;Human Resources;8:44;17:13;8:29:00;18;0;9;2;10304739;71560.6875;0;805057.7344;0;412189.56;11109796.73;412189.56;824379.12;10285417.61
39;Gus Zucker;Marketing;9:09;17:16;8:07:00;19;19;9;2;5033163;33112.91447;786431.7188;372520.2878;0;201326.52;6192115.007;201326.52;402653.04;5789461.967
40;Tim Danko;Services;9:19;16:37;7:18:00;18;9;13;0;21061335;146259.2708;1645416.797;2376713.151;0;842453.4;25083464.95;842453.4;1684906.8;23398558.15
41;Rodina Hendrix;Marketing;8:41;16:40;7:59:00;20;17;7;0;14729522;92059.5125;1956264.641;805520.7344;0;589180.88;17491307.38;589180.88;1178361.76;16312945.62
42;Oberon Jonathon;Services;8:53;16:55;8:02:00;19;6;8;1;26733839;175880.5197;1319103.898;1758805.197;0;1069353.56;29811748.1;1069353.56;2138707.12;27673040.98
43;Luise Atheis;Sales;9:06;17:14;8:08:00;20;13;4;0;28080202;175501.2625;2851895.516;877506.3125;0;1123208.08;31809603.83;1123208.08;2246416.16;29563187.67
44;Talia Chevolleau;Training;9:07;17:21;8:14:00;18;3;11;1;20012438;138975.2639;521157.2396;1910909.878;0;800497.52;22444505.12;800497.52;1600995.04;20843510.08
45;Caressa Francklin;Services;9:13;17:27;8:14:00;20;16;4;0;3770187;23563.66875;471273.375;117818.3438;0;150807.48;4359278.719;150807.48;301614.96;4057663.759
46;Oliver Tiffin;Legal;8:52;16:32;7:40:00;19;11;13;0;17348725;114136.3487;1569374.794;1854715.666;0;693949;20772815.46;693949;1387898;19384917.46
47;Baxter Handslip;Marketing;9:00;17:03;8:03:00;18;5;4;2;6764924;46978.63889;293616.4931;234893.1944;0;270596.96;7293433.688;270596.96;541193.92;6752239.768
48;Farlee Plain;Engineering;9:14;16:39;7:25:00;19;9;13;0;5215582;34313.03947;386021.6941;557586.8914;0;208623.28;6159190.586;208623.28;417246.56;5741944.026
49;Jenn Izhakov;Marketing;8:54;17:07;8:13:00;20;11;8;2;3409222;21307.6375;292980.0156;213076.375;0;136368.88;3915278.391;136368.88;272737.76;3642540.631
50;Kayley Beal;Marketing;9:08;17:37;8:29:00;18;8;7;0;27813460;193149.0278;1931490.278;1690053.993;0;1112538.4;31435004.27;1112538.4;2225076.8;29209927.47
51;Arvin Diemer;Sales;8:49;16:43;7:54:00;18;2;7;1;18841764;130845.5833;327113.9583;1144898.854;0;753670.56;20313776.81;753670.56;1507341.12;18806435.69
52;Bibbie Geaveny;Business Development;9:06;16:54;7:48:00;18;11;3;0;16441133;114174.5347;1569899.852;428154.5052;0;657645.32;18439187.36;657645.32;1315290.64;17123896.72
53;Stafani Jenk;Research and Development;9:19;17:26;8:07:00;20;7;5;1;2517864;15736.65;137695.6875;98354.0625;162000;100714.56;2915913.75;100714.56;201429.12;2714484.63
54;Conni Dalliwatr;Support;8:42;16:47;8:05:00;18;19;2;1;9745317;67675.8125;1607300.547;169189.5313;0;389812.68;11521807.08;389812.68;779625.36;10742181.72
55;Emmey Silson;Accounting;9:00;16:51;7:51:00;18;16;0;0;15259185;105966.5625;2119331.25;0;0;610367.4;17378516.25;610367.4;1220734.8;16157781.45
56;Roxane Benettini;Engineering;8:59;16:48;7:49:00;20;20;13;2;2944871;18405.44375;460136.0938;299088.4609;0;117794.84;3704095.555;117794.84;235589.68;3468505.875
57;Meredithe Blundan;Sales;8:59;16:50;7:51:00;20;7;2;1;23756979;148481.1188;1299209.789;371202.7969;0;950279.16;25427391.59;950279.16;1900558.32;23526833.27
58;Sile Willcock;Support;8:58;16:45;7:47:00;20;13;8;0;3815845;23849.03125;387546.7578;238490.3125;0;152633.8;4441882.07;152633.8;305267.6;4136614.47
59;Allene Hourstan;Research and Development;8:59;16:57;7:58:00;18;19;10;2;21495335;149273.1597;3545237.543;1865914.497;0;859813.4;26906487.04;859813.4;1719626.8;25186860.24
60;Nicki Slorach;Accounting;9:18;16:41;7:23:00;19;11;15;1;20071981;132052.5066;1815721.965;2475984.498;0;802879.24;24363687.46;802879.24;1605758.48;22757928.98
61;Rog Comelini;Services;9:11;16:32;7:21:00;20;0;4;2;28221524;176384.525;0;881922.625;0;1128860.96;29103446.63;1128860.96;2257721.92;26845724.71
62;Gerti McKeighan;Human Resources;8:56;17:22;8:26:00;18;5;14;0;10099286;70133.93056;438337.066;1227343.785;0;403971.44;11764966.85;403971.44;807942.88;10957023.97
63;Ingeborg Flaxman;Marketing;9:08;17:18;8:10:00;20;16;2;1;8494314;53089.4625;1061789.25;132723.6563;0;339772.56;9688826.906;339772.56;679545.12;9009281.786
64;Any Abrahami;Business Development;8:50;16:44;7:54:00;20;4;14;0;13304496;83153.1;415765.5;1455179.25;0;532179.84;15175440.75;532179.84;1064359.68;14111081.07
65;Filip Pelos;Training;8:40;17:34;8:54:00;18;17;10;0;8728288;60613.11111;1288028.611;757663.8889;0;349131.52;10773980.5;349131.52;698263.04;10075717.46
66;Lucias Singyard;Training;9:05;17:03;7:58:00;18;15;15;2;22958631;159434.9375;2989405.078;2989405.078;0;918345.24;28937441.16;918345.24;1836690.48;27100750.68
67;Davita McKeurtan;Human Resources;8:51;16:50;7:59:00;18;10;6;1;5679436;39440.52778;493006.5972;295803.9583;0;227177.44;6468246.556;227177.44;454354.88;6013891.676
68;Timmi Deroche;Legal;9:12;17:06;7:54:00;20;5;10;0;10532245;65826.53125;411415.8203;822831.6406;0;421289.8;11766492.46;421289.8;842579.6;10923912.86
69;Court Andreassen;Training;9:03;16:45;7:42:00;19;11;15;0;24983070;164362.3026;2259981.661;3081793.174;0;999322.8;30324844.84;999322.8;1998645.6;28326199.24
70;Caryn Wagge;Legal;9:09;17:31;8:22:00;19;16;3;2;19738271;129857.0461;2597140.921;486963.9227;0;789530.84;22822375.84;789530.84;1579061.68;21243314.16
71;Alden Abrahamsen;Accounting;8:55;17:32;8:37:00;20;4;0;1;20040772;125254.825;626274.125;0;0;801630.88;20667046.13;801630.88;1603261.76;19063784.37
72;Connie Margeram;Human Resources;8:53;16:44;7:51:00;18;9;15;0;21670243;150487.7986;1692987.734;2821646.224;0;866809.72;26184876.96;866809.72;1733619.44;24451257.52
73;Yard Treslove;Services;9:06;16:50;7:44:00;18;6;11;1;24487046;170048.9306;1275366.979;2338172.795;0;979481.84;28100585.77;979481.84;1958963.68;26141622.09
74;Neall Fateley;Human Resources;8:54;16:34;7:40:00;19;12;6;2;5261917;34617.875;519268.125;259634.0625;0;210476.68;6040819.188;210476.68;420953.36;5619865.828
75;Clive Peealess;Sales;9:15;16:43;7:28:00;18;19;12;2;28633500;198843.75;4722539.063;2982656.25;0;1145340;36338695.31;1145340;2290680;34048015.31
76;Dallon Greenley;Sales;8:53;17:30;8:37:00;18;9;0;2;13403291;93078.40972;1047132.109;0;0;536131.64;14450423.11;536131.64;1072263.28;13378159.83
77;Neale Brannon;Human Resources;9:03;16:40;7:37:00;20;1;4;2;20783184;129894.9;162368.625;649474.5;0;831327.36;21595027.13;831327.36;1662654.72;19932372.41
78;Georgina Pepperill;Support;8:56;16:34;7:38:00;20;7;2;0;27810850;173817.8125;1520905.859;434544.5313;0;1112434;29766300.39;1112434;2224868;27541432.39
79;Sholom St Angel;Support;9:09;17:38;8:29:00;20;14;14;2;10608331;66302.06875;1160286.203;1160286.203;0;424333.24;12928903.41;424333.24;848666.48;12080236.93
80;Alf Lathey;Services;8:48;16:46;7:58:00;19;5;11;2;22552920;148374.4737;927340.4605;2040149.013;0;902116.8;25520409.47;902116.8;1804233.6;23716175.87
81;Lonnie Crebbin;Training;9:11;17:35;8:24:00;20;6;1;1;10930509;68315.68125;512367.6094;85394.60156;0;437220.36;11528271.21;437220.36;874440.72;10653830.49
82;Antonietta Haylett;Human Resources;9:02;17:36;8:34:00;19;20;1;2;17474482;114963.6974;2874092.434;143704.6217;0;698979.28;20492279.06;698979.28;1397958.56;19094320.5
83;Gideon Jobern;Training;8:46;16:59;8:13:00;20;7;8;2;5671228;35445.175;310145.2813;354451.75;0;226849.12;6335825.031;226849.12;453698.24;5882126.791
84;Carol-jean Haylor;Product Management;9:15;16:54;7:39:00;19;15;7;1;21498166;141435.3026;2651911.924;1237558.898;0;859926.64;25387636.82;859926.64;1719853.28;23667783.54
85;Hyacintha Gransden;Sales;8:53;16:37;7:44:00;20;12;14;0;19305149;120657.1813;1809857.719;2111500.672;0;772205.96;23226507.39;772205.96;1544411.92;21682095.47
86;Buiron Birdsey;Research and Development;9:19;17:27;8:08:00;18;13;13;0;17375444;120662.8056;1960770.59;1960770.59;0;695017.76;21296985.18;695017.76;1390035.52;19906949.66
87;Gaylene Gerbel;Sales;8:53;16:58;8:05:00;20;7;3;1;27467652;171672.825;1502137.219;643773.0938;0;1098706.08;29613562.31;1098706.08;2197412.16;27416150.15
88;Esta Bythway;Support;9:13;17:36;8:23:00;20;0;12;2;19557650;122235.3125;0;1833529.688;0;782306;21391179.69;782306;1564612;19826567.69
89;Jsandye Wharton;Human Resources;9:04;17:21;8:17:00;18;10;3;1;8451204;58688.91667;733611.4583;220083.4375;0;338048.16;9404898.896;338048.16;676096.32;8728802.576
90;Mariel Fendlen;Business Development;9:14;17:29;8:15:00;19;13;3;1;22833449;150220.0592;2441075.962;563325.222;0;913337.96;25837850.18;913337.96;1826675.92;24011174.26
91;Aylmer Philler;Engineering;8:49;17:08;8:19:00;19;5;15;0;23277746;153143.0658;957144.1612;2871432.484;0;931109.84;27106322.64;931109.84;1862219.68;25244102.96
92;Silvia Barthelme;Training;9:17;16:30;7:13:00;19;5;7;1;6156735;40504.83553;253155.222;354417.3109;0;246269.4;6764307.533;246269.4;492538.8;6271768.733
93;Alexis Tomczak;Services;9:08;17:03;7:55:00;20;7;4;2;12120479;75752.99375;662838.6953;378764.9688;0;484819.16;13162082.66;484819.16;969638.32;12192444.34
94;Linette Inger;Support;9:06;16:41;7:35:00;20;6;11;1;24476961;152981.0063;1147357.547;2103488.836;0;979078.44;27727807.38;979078.44;1958156.88;25769650.5
95;Daron Haws;Support;9:18;17:12;7:54:00;18;9;2;0;7233789;50234.64583;565139.7656;125586.6146;0;289351.56;7924515.38;289351.56;578703.12;7345812.26
96;Barth Blaszczak;Marketing;8:41;16:42;8:01:00;20;2;8;0;16551602;103447.5125;258618.7813;1034475.125;0;662064.08;17844695.91;662064.08;1324128.16;16520567.75
97;Nannette Thomen;Business Development;9:09;17:28;8:19:00;20;11;14;1;23079856;144249.1;1983425.125;2524359.25;0;923194.24;27587640.38;923194.24;1846388.48;25741251.9
98;Lilli Higgan;Training;8:56;16:41;7:45:00;18;0;6;2;10602307;73627.13194;0;552203.4896;0;424092.28;11154510.49;424092.28;848184.56;10306325.93
99;Dickie Hovell;Engineering;8:42;17:35;8:53:00;20;4;1;1;22884748;143029.675;715148.375;178787.0938;0;915389.92;23778683.47;915389.92;1830779.84;21947903.63
100;Kyle Edmed;Engineering;9:04;17:25;8:21:00;20;15;10;0;3845972;24037.325;450699.8438;300466.5625;0;153838.88;4597138.406;153838.88;307677.76;4289460.646
101;Waly Charters;Support;8:45;17:03;8:18:00;19;11;0;0;13822062;90934.61842;1250351.003;0;0;552882.48;15072413;552882.48;1105764.96;13966648.04
102;Cristi Beattie;Training;8:44;17:09;8:25:00;18;18;9;0;12444848;86422.55556;1944507.5;972253.75;0;497793.92;15361609.25;497793.92;995587.84;14366021.41
103;Kandace Grigor;Human Resources;8:58;17:08;8:10:00;18;2;8;0;4531876;31471.36111;78678.40278;314713.6111;0;181275.04;4925268.014;181275.04;362550.08;4562717.934
104;Bogart Garci;Product Management;9:17;16:34;7:17:00;20;11;3;1;4808476;30052.975;413228.4063;112698.6563;0;192339.04;5334403.063;192339.04;384678.08;4949724.983
105;Bellina Petr;Legal;8:40;17:02;8:22:00;19;19;14;0;20755470;136549.1447;3243042.188;2389610.033;0;830218.8;26388122.22;830218.8;1660437.6;24727684.62
106;Costanza Jennions;Engineering;9:13;16:34;7:21:00;20;17;10;1;10114269;63214.18125;1343301.352;790177.2656;0;404570.76;12247747.62;404570.76;809141.52;11438606.1
107;Bing Splevin;Product Management;9:14;16:32;7:18:00;19;17;13;1;15123326;99495.56579;2114280.773;1616802.944;0;604933.04;18854409.72;604933.04;1209866.08;17644543.64
108;Westleigh Portingale;Engineering;8:40;16:33;7:53:00;18;13;3;0;13544435;94058.57639;1528451.866;352719.6615;0;541777.4;15425606.53;541777.4;1083554.8;14342051.73
109;Saidee Bonnier;Support;8:59;17:35;8:36:00;19;6;4;0;27332517;179819.1908;1348643.931;899095.9539;0;1093300.68;29580256.88;1093300.68;2186601.36;27393655.52
110;Konstantine Pietsma;Services;8:45;16:49;8:04:00;18;0;14;2;2833092;19674.25;0;344299.375;0;113323.68;3177391.375;113323.68;226647.36;2950744.015
111;Gunner Mountain;Sales;8:42;16:36;7:54:00;20;7;2;0;3037531;18984.56875;166114.9766;47461.42188;0;121501.24;3251107.398;121501.24;243002.48;3008104.918
112;Eberhard Bradbury;Sales;9:07;17:00;7:53:00;20;3;8;2;6065437;37908.98125;142158.6797;379089.8125;0;242617.48;6586685.492;242617.48;485234.96;6101450.532
113;Devlen Christopher;Legal;9:18;16:58;7:40:00;18;20;12;0;10806606;75045.875;1876146.875;1125688.125;0;432264.24;13808441;432264.24;864528.48;12943912.52
114;Trumann Bellis;Human Resources;8:54;17:17;8:23:00;20;9;10;2;12692156;79325.975;892417.2188;991574.6875;0;507686.24;14576147.91;507686.24;1015372.48;13560775.43
115;Bonny Dunkerton;Services;8:48;16:48;8:00:00;19;1;10;1;28048972;184532.7105;230665.8882;2306658.882;0;1121958.88;30586296.77;1121958.88;2243917.76;28342379.01
116;Stan Rawsen;Marketing;9:16;16:31;7:15:00;20;2;11;0;14662625;91641.40625;229103.5156;1260069.336;0;586505;16151797.85;586505;1173010;14978787.85
117;Kaspar Strettle;Human Resources;8:48;17:37;8:49:00;19;18;14;0;26787805;176235.5592;3965300.082;3084122.286;0;1071512.2;33837227.37;1071512.2;2143024.4;31694202.97
118;Meir Thody;Services;9:10;16:44;7:34:00;18;14;4;2;24501579;170149.8542;2977622.448;850749.2708;0;980063.16;28329950.72;980063.16;1960126.32;26369824.4
119;Roderich Woolaston;Support;9:12;16:51;7:39:00;20;16;13;0;24825162;155157.2625;3103145.25;2521305.516;0;993006.48;30449612.77;993006.48;1986012.96;28463599.81
120;Stormi Dewire;Training;9:08;17:32;8:24:00;20;14;2;2;28121879;175761.7438;3075830.516;439404.3594;0;1124875.16;31637113.88;1124875.16;2249750.32;29387363.56
121;Gilli Nutbeem;Sales;9:16;16:43;7:27:00;19;11;11;0;5303519;34891.57237;479759.1201;479759.1201;0;212140.76;6263037.24;212140.76;424281.52;5838755.72
122;Rora Feeny;Human Resources;9:05;16:40;7:35:00;18;15;12;1;28011264;194522.6667;3647300;2917840;0;1120450.56;34576404;1120450.56;2240901.12;32335502.88
123;Wendall Punch;Marketing;8:58;17:10;8:12:00;19;7;8;2;8487593;55839.42763;488594.9918;558394.2763;0;339503.72;9534582.268;339503.72;679007.44;8855574.828
124;Hubie McClelland;Marketing;8:57;17:08;8:11:00;19;10;4;1;12622821;83044.875;1038060.938;415224.375;0;504912.84;14076106.31;504912.84;1009825.68;13066280.63
125;Lonee Burress;Product Management;8:48;17:31;8:43:00;18;4;15;1;14563553;101135.7847;505678.9236;1896295.964;0;582542.12;16965527.89;582542.12;1165084.24;15800443.65
126;Pepe Pieterick;Legal;8:57;16:47;7:50:00;19;16;7;2;14411521;94812.63816;1896252.763;829610.5839;0;576460.84;17137384.35;576460.84;1152921.68;15984462.67
127;Robby Blazewicz;Engineering;9:01;17:13;8:12:00;20;3;0;1;18139990;113374.9375;425156.0156;0;0;725599.6;18565146.02;725599.6;1451199.2;17113946.82
128;Audra Fullilove;Training;8:54;17:37;8:43:00;20;7;2;0;18151758;113448.4875;992674.2656;283621.2188;0;726070.32;19428053.48;726070.32;1452140.64;17975912.84
129;Onida Huegett;Sales;8:50;16:32;7:42:00;19;17;9;0;5081737;33432.48026;710440.2056;376115.403;0;203269.48;6168292.609;203269.48;406538.96;5761753.649
130;Vevay Dukes;Product Management;8:48;16:37;7:49:00;19;2;6;2;17507087;115178.2039;287945.5099;863836.5296;0;700283.48;18658869.04;700283.48;1400566.96;17258302.08
131;Abbi Berfoot;Marketing;8:42;16:30;7:48:00;20;18;2;1;9460539;59128.36875;1330388.297;147820.9219;0;378421.56;10938748.22;378421.56;756843.12;10181905.1
132;Magdalene McMillan;Support;9:04;16:37;7:33:00;18;7;13;0;14471023;100493.2153;879315.6337;1633014.748;0;578840.92;16983353.38;578840.92;1157681.84;15825671.54
133;Wilhelmine McCuis;Product Management;8:55;17:24;8:29:00;18;8;13;0;10710803;74380.57639;743805.7639;1208684.366;0;428432.12;12663293.13;428432.12;856864.24;11806428.89
134;Catina Maccrae;Sales;9:09;16:39;7:30:00;19;5;3;1;23970458;157700.3816;985627.3849;591376.4309;0;958818.32;25547461.82;958818.32;1917636.64;23629825.18
135;Selia Pyburn;Accounting;8:49;16:59;8:10:00;19;7;8;1;24550554;161516.8026;1413272.023;1615168.026;0;982022.16;27578994.05;982022.16;1964044.32;25614949.73
136;Clara Luckin;Training;8:52;17:34;8:42:00;19;14;12;1;12356222;81290.93421;1422591.349;1219364.013;0;494248.88;14998177.36;494248.88;988497.76;14009679.6
137;Kaila Langton;Training;9:12;17:37;8:25:00;19;3;0;2;25200412;165792.1842;621720.6908;0;0;1008016.48;25822132.69;1008016.48;2016032.96;23806099.73
138;Samaria Carillo;Legal;9:04;17:23;8:19:00;18;5;2;0;15308702;106310.4306;664440.191;265776.0764;0;612348.08;16238918.27;612348.08;1224696.16;15014222.11
139;Issiah Caldecourt;Business Development;9:01;16:57;7:56:00;18;20;13;2;4420311;30696.60417;767415.1042;498819.8177;0;176812.44;5686545.922;176812.44;353624.88;5332921.042
140;Ursuline Allin;Support;9:05;16:45;7:40:00;19;19;7;2;14974117;98513.92763;2339705.781;861996.8668;0;598964.68;18175819.65;598964.68;1197929.36;16977890.29
141;Brit Ackenhead;Sales;8:40;16:58;8:18:00;18;10;11;2;10130486;70350.59722;879382.4653;967320.7118;0;405219.44;11977189.18;405219.44;810438.88;11166750.3
142;Vincenz Brosch;Training;8:55;16:32;7:37:00;19;0;0;0;5666162;37277.38158;0;0;0;226646.48;5666162;226646.48;453292.96;5212869.04
143;Kristen Bentame;Legal;8:45;17:38;8:53:00;20;9;11;2;16213032;101331.45;1139978.813;1393307.438;0;648521.28;18746318.25;648521.28;1297042.56;17449275.69
144;Guthrey Cometto;Human Resources;9:12;16:32;7:20:00;18;2;5;0;23226195;161293.0208;403232.5521;1008081.38;0;929047.8;24637508.93;929047.8;1858095.6;22779413.33
145;Bartram Caesar;Engineering;9:06;17:28;8:22:00;20;4;3;1;3572618;22328.8625;111644.3125;83733.23438;0;142904.72;3767995.547;142904.72;285809.44;3482186.107
146;Gayel McKennan;Research and Development;9:03;16:37;7:34:00;20;12;6;2;27302816;170642.6;2559639;1279819.5;0;1092112.64;31142274.5;1092112.64;2184225.28;28958049.22
147;Donnajean Beavis;Legal;8:41;17:07;8:26:00;19;17;0;0;25623650;168576.6447;3582253.701;0;0;1024946;29205903.7;1024946;2049892;27156011.7
148;Shina Houseley;Marketing;8:52;17:35;8:43:00;18;15;8;2;15832575;109948.4375;2061533.203;1099484.375;0;633303;18993592.58;633303;1266606;17726986.58
149;Kassandra McNirlan;Research and Development;9:17;17:11;7:54:00;19;9;13;0;26787331;176232.4408;1982614.959;2863777.163;0;1071493.24;31633723.12;1071493.24;2142986.48;29490736.64
150;Port Caro;Product Management;9:14;16:44;7:30:00;18;13;2;0;11288736;78394;1273902.5;195985;0;451549.44;12758623.5;451549.44;903098.88;11855524.62
151;Dyann Sprankling;Services;8:44;17:37;8:53:00;19;19;9;1;5079759;33419.46711;793712.3438;375969.0049;0;203190.36;6249440.349;203190.36;406380.72;5843059.629
152;Stella Williscroft;Marketing;8:45;16:38;7:53:00;18;15;11;2;20572215;142862.6042;2678673.828;1964360.807;0;822888.6;25215249.64;822888.6;1645777.2;23569472.44
153;Marven Curedell;Training;8:55;17:01;8:06:00;20;1;4;1;8498240;53114;66392.5;265570;0;339929.6;8830202.5;339929.6;679859.2;8150343.3
154;Ade Pembry;Engineering;9:06;17:03;7:57:00;18;17;15;1;15425970;107124.7917;2276401.823;2008589.844;0;617038.8;19710961.67;617038.8;1234077.6;18476884.07
155;Fran Sharpous;Legal;8:59;16:43;7:44:00;19;10;4;0;8980023;59079.09868;738488.7336;295395.4934;0;359200.92;10013907.23;359200.92;718401.84;9295505.387
