first_name,last_name,id,P/H,P/H_Extras
Rebeca,Stickins,78563,46.36,53.61
Shina,Skough,67624,97.63,72.26
Beitris,Dench,47203,66.3,50.6
Letti,Hinsch,46338,27.35,56.74
Bailey,Oxberry,16310,96.39,23.05
Carling,Murfett,21222,34.05,79.86
Geralda,Sudran,54680,70.04,32.35
Kakalina,Leahey,64224,53.73,89.48
Gleda,Eayres,27758,36.03,64.56
Karyn,Fluck,56838,23.77,82.72
Leupold,Ferrettino,75781,30.9,80.55
Filia,Lennox,67702,42.93,37.63
Koralle,Akehurst,57931,43.17,96.32
Ermina,Cappell,66317,20.36,43.01
Brannon,Adlam,22529,39.63,41.95
Harriette,Codd,31532,28.18,26.37
Inigo,Bannister,43849,73.95,21.7
Sabina,Girard,27432,86.92,66.39
Eal,Kiraly,40113,44.25,58.45
Felecia,Ecclestone,27322,89.78,35.12
Nealon,McClymont,34647,63.61,24.74
Yulma,Fosdyke,44188,27.49,79.69
Lettie,Alelsandrowicz,25070,67.81,20.73
Abbot,Widdows,52903,81.02,60.71
Latia,Bowick,68581,47.24,71.81
Burch,Goch,28233,25.89,42.32
Mady,Dye,67623,91.48,20.68
Euell,Djurkovic,61672,74.53,82.46
Pablo,Cosens,32297,82.29,68.58
Denys,Rosenberg,13151,46.44,70.4
Correy,Teaser,37790,36.33,70.95
Cati,Rengger,30273,20.57,41.01
Jefferey,Gimblet,19603,76.37,19.21
Rutter,Dunkerly,74173,17.11,42.18
Augustine,Lghan,55830,63.68,89.42
Gilligan,Dreus,53700,88.27,65.24
Nerte,Gever,87724,55.98,97.16
Aggie,Letterese,26698,69.58,96.59
Lola,Daniels,61294,89.86,89.86
Tyrus,Angier,30447,42.17,77.97
Sindee,Orrett,34873,24.19,77.84
Ivy,Lemmertz,96298,20.99,58.54
Tybalt,Trevithick,64034,80.83,26.38
Buddy,Pauel,57409,98.54,75.54
Cary,Tolworthie,61619,17.89,52.34
Marjory,Dran,10000,82.43,43.42
Ivory,Pickup,64893,96.16,63.76
Paige,Stather,46895,83.63,87.31
Lorne,Fackrell,86225,43.79,20.81
Callean,Rosa,57552,63.99,45.46
Pamella,Raleston,79107,38.85,42.85
Alvy,Redford,55330,63.29,37.89
Thekla,Castanho,82525,23,61.39
Bren,Clac,33255,95.57,51.95
Vivienne,Grzegorzewicz,80383,33.3,77.93
Billi,Stoneham,34687,25.46,92.54
Arlana,Howett,53380,59.92,21.14
Lionello,Ebbens,92264,40.98,69.19
Juliet,Thompkins,93646,44.71,33.01
Peri,Redfield,16850,39.79,87.56
Deb,Ingliby,53055,93.72,65.84
Farlee,De Hoogh,76986,42.21,77.89
Blaine,Loney,89745,79.36,52.39
Ivory,Foker,45891,75.15,29.94
Derron,Ivett,87092,97.24,70.95
Greta,Portinari,29604,35.99,35.85
Danita,Willmot,65392,45.35,44
Gwenni,Polsin,76405,74.07,55.93
Joeann,O'Deegan,26698,12.48,26.49
Lucius,Burniston,70625,92.17,78.18
Thaddus,Couronne,49663,39.58,88.52
Cherida,Edginton,26956,21.06,98.58
Art,Behneke,54915,62.11,35.31
Feodora,Clewlowe,57789,70.61,31.41
Vladamir,Scriviner,38303,26.56,80.38
Viviana,Davidowich,62719,89.31,97.42
Allyn,Coggill,75768,20.49,46.66
Elise,Tommeo,79054,75.91,33.34
Kari,Kobel,53754,42.89,26.51
Carlyle,Dupoy,60919,18.35,69.1
Simmonds,Fairs,14968,84.87,93.46
Sloan,Pashbee,66082,10.11,58.27
Tally,Braams,40400,38.18,89.87
Sukey,Brommage,61063,58.86,73.37
Elayne,Hamblen,48723,42.67,70.19
Dyana,Goady,47494,27.33,99.87
Tarrah,Twitchings,61862,89.13,45.71
Lindon,Mytton,96900,70.15,94.65
Moses,Bartle,13605,76.04,73.66
Gerianne,Cheal,72846,73.38,96.07
Jerrine,Marchington,18776,25.94,72.36
Garnet,Limming,42163,95.26,39.06
Felice,Decent,93982,96.2,82.03
Gabriel,Seabert,63706,84.55,45.92
Barnie,Petyt,28373,82.48,58.03
Shae,Jenny,52226,45.95,83.78
Minnnie,Tabord,19519,55.19,37.37
Carlee,Meaders,71128,29.47,44.72
Sanders,Hadlington,42809,55.87,74.05
Gabby,Sarginson,32205,19.47,48.85
Harris,Henricsson,51351,74.48,33.96
Jeddy,Milillo,70008,81.5,23.05
Floris,Loweth,24829,45.04,45.09
Loni,Rummin,32190,37.55,41.01
Casper,Edgington,73795,41.91,99.26
Basilio,Kleinholz,18085,39.81,76.78
Doyle,Sheardown,20961,23.13,91.85
Mela,Kruschov,72243,88.08,26.82
Maitilde,Really,15873,81.19,26.23
Marlena,Blissitt,79682,28.91,49.53
Sile,Ganing,77731,57.86,91.98
Constance,Quarry,83268,79.3,76.43
Dermot,Broom,71784,33.84,45.24
Jude,Orgill,91006,16.64,52.73
Maighdiln,Niess,43931,73.76,51.28
Carlyle,Kinnier,98659,25.99,20.32
Dedra,Benditt,88354,80.83,81.83
Domingo,Kembrey,98871,95.1,48.78
Aubry,Birtwistle,40451,81.24,33.81
Gerianna,Donnachie,52828,96.37,57.43
Hyacintha,Gargett,40773,39.66,81.99
Pedro,Beardsall,72020,87.51,43.48
Olwen,Toone,79310,86.72,29.39
Clement,Whelband,48895,28.94,20.39
Shelton,Nana,61159,53.57,23.45
Anastasie,Jouen,51861,42.92,38.23
Kassi,Arnason,51776,39.21,81.85
Smith,O'Loinn,93752,37.02,54.78
Kellby,Sprade,79273,90.79,71.26
Jolene,Buckles,63751,38.08,33.36
Sharline,Colliford,86830,71.82,89.49
Pace,Breedy,54559,74.74,71.23
Denyse,Patterson,58829,70.98,78.77
Gabbie,Ollington,46555,78.48,19.25
Lloyd,Kuhle,33174,95.47,80.44
Patricio,Livingstone,28732,95.12,66.39
Sherie,Manley,11287,36.35,19.3
Rubetta,Dedham,91777,96.3,65.23
Godiva,Zecchii,36921,30.26,26.51
Susy,Loftie,66469,89.44,34.94
Mirilla,Farfolomeev,86946,94.38,24.89
Diana,Hannum,45622,45.65,59.51
Myriam,Neicho,53306,77.1,60.85
Maris,Tomaszewski,59752,26.45,70.5
Justin,Godbold,48931,18.81,69.63
Sharla,Sterzaker,95241,68.87,90.41
Alexandra,O'Teague,77983,59.82,46.08
Reeva,Killgus,74124,37.53,63.29
Christian,Theobald,84225,15.03,30.98
Parsifal,Jimmes,33997,29.01,68.84
Storm,Linford,58012,57.85,37.92
Stavros,Driutti,34206,98.12,42.55
Courtney,Sloam,69608,14.09,85.62
Marylee,Caught,74843,15.36,50.99
Thomasa,Cuddehay,86962,94.44,64.24
Amalita,Abbets,50942,25.26,72.43
Vanny,Letham,36557,36.82,58.68
Rowen,Merryman,85467,73.21,71.14
Bank,Kment,91146,96.43,81.14
Angelico,Lasham,10120,25.82,49.46
Dorothea,Mahaddie,59814,16.74,56.31
Claudio,Wreath,39732,52.92,20.12
Rhody,Farreil,82739,33.04,77.76
Farrand,Withnall,86711,43.28,91.65
Wernher,Blackbrough,31104,41.82,78.85
Corby,Jeannaud,71219,81.8,99.42
Siouxie,Misk,60139,59.98,56.26
Derrik,Tilbrook,81932,80.67,52.02
Gearalt,Fosken,31779,65.92,75.89
Ronda,Mathew,64587,28.17,21.97
Franni,Courteney,65786,53.87,52.02
Robinia,Lancastle,16986,92.3,80.02
Electra,Haborn,86380,80.48,60.16
Henka,Bott,56860,36.64,50.95
Roxane,Hallwood,26625,49.32,43.91
Sidoney,Jestico,48789,64.08,34.26
Redford,Lascell,55268,58.28,54.41
Aryn,Weetch,43699,30.73,53.77
Michaeline,Luffman,38832,21.38,27.89
Amara,Hodge,92473,94.84,45.52
Jacynth,Tanton,83514,96.27,85.83
Pincas,Lumsdon,67122,35.32,72.05
Dinah,Haydn,99647,88.1,24.52
Ricard,Davsley,63792,79.93,98.94
Nanni,Kays,18382,64.36,26.85
Windham,Ivanyushin,23092,87.66,89.38
Carri,Aysh,14476,38.97,78.05
Madel,Westhofer,25581,29.14,59.33
Roselle,Cantle,91647,21.37,20.89
Cointon,Altimas,65786,62.18,27.45
Callean,Duerden,57471,79.65,62.84
Farly,Durrad,64268,37.3,60.67
Mackenzie,Weippert,90518,89.87,62.2
Gabi,Menco,25253,61.2,84.14
Alfredo,Maguire,45846,21,28.13
Normand,Mold,35603,20.07,55.5
Inga,Arunowicz,43012,44.83,72.14
Charlena,Haruard,52322,43.55,54.05
Kikelia,Woodham,36829,33.48,70.72
Celie,Gregan,11637,67.67,48.01
Pauli,Fullom,31366,92.33,60.53
Lenci,Pavlata,15890,19.09,53.41
Kenyon,Ollander,12879,34.08,57
Lolita,Leech,42295,54.78,30.67
Shell,Prigg,58556,53.6,77.67
Paule,Tunnick,94567,78.81,93.92
Mandie,Gillet,98087,69.93,25.25
Bambie,Wilbud,89266,95.77,86.04
Evangelia,Ridewood,56216,43.88,67.01
Casie,Shoulders,19392,31.54,61.99
Celina,Hundley,48639,36.01,91.98
Woody,Dommersen,98875,85.7,62.6
Hollyanne,Kerton,30737,79.34,48.85
Letitia,Southworth,24132,49.19,31.68
Maureene,Saunier,79890,91.35,32.5
Serena,Wenderoth,59623,69.17,21.43
Seth,Levensky,80625,26.4,84.66
Douglass,Stout,87193,60.99,32.67
Terri,Chasemore,96041,63.72,34.19
Jerald,Efford,31850,49.73,47.51
Gibb,Mate,22468,36.23,42.54
Araldo,O'Callaghan,91282,30.55,28.75
Addi,Trubshawe,61349,56.25,66.98
Karylin,Slarke,49812,92.45,85.77
Jo,Kinchington,63014,90.69,50.91
Cad,Screaton,78813,11.99,94.37
Johann,Pascoe,42532,50.51,24.95
Beck,Bousler,70632,36.37,32.23
Sadye,MacSherry,59826,19.71,33.95
Dareen,Springate,89832,37.79,71.79
Janenna,Ashworth,47089,37.32,21.96
Dion,Proby,92606,57.74,95.01
Hy,Hurlestone,53961,51.61,20.45
Skippy,Delucia,86067,55.72,36.05
Gretel,Tynan,56962,73.37,94.09
Marylin,Leport,85743,35.76,31.9
Rickey,Branscombe,32148,22.47,71.53
Joelly,Disdel,42764,27.93,73.35
Burt,Mitchener,56493,90.94,67.05
Derron,Wife,57705,24.37,97.16
Andria,Borrington,39507,24.7,40.12
Aloise,Deason,18692,86.25,66.19
Berk,Corneille,47700,82.01,59.16
Netta,Archbutt,86491,94.81,80.37
Brenn,Slorach,82084,93.6,68.35
Artair,Gonneau,92946,69.4,34.29
Aksel,Van Merwe,84240,54.29,94.49
Orlan,Hacquoil,10690,50.69,72.76
Helga,Lenard,97487,74.78,20.75
Karola,Ridgedell,27928,61.83,55.37
Toiboid,Ullock,63733,21.53,33.71
Giorgio,Giacomazzo,61832,69.2,72.55
Theresina,Gilffilland,95553,93.93,99.99
Waldemar,Heliar,45603,25.86,52.73
Cord,Rudham,22007,87.36,63.05
Ellette,Waby,74290,88.06,99.66
Cloe,Elsay,14376,21.24,77.92
Arty,Dawes,85401,26.73,61.35
Liesa,Brunke,39872,93.6,85.9
Demetra,McPhaden,55386,34.93,75.23
Dov,Paffitt,24745,28.1,76.12
Ara,Farington,66219,28.09,58.41
Regina,Barwick,48647,59.3,79.64
Florie,Vickerman,48294,68.51,20.77
Dahlia,Harrow,90046,51.66,25.52
Annmarie,Baskwell,67067,77.54,36.78
Crosby,Benion,63492,44.32,21.66
Killy,Petracci,27239,65.62,52.74
Brendis,Trevillion,37055,86.38,72.36
Leandra,Tarbatt,52809,64.35,62.59
Charil,Leithgoe,40704,32.32,24.16
Colleen,Stokoe,37207,79.23,75.67
Rhona,Clemmitt,92886,44.05,70.51
Caryn,Scala,12846,12.46,97.76
Lotta,Featherston,18531,63.27,29.17
Corabel,Pearlman,12964,21.69,74.99
Brenden,MacLeese,72241,31.27,42.14
Tildy,Mudle,14677,62.66,31.69
Camella,Weafer,54810,56.31,48.75
Micheline,McNerlin,16533,43.52,27.73
Bendicty,Goakes,49108,17.44,73.05
Dana,Stanyer,92395,43.57,76.86
Ardis,Taber,74445,24.38,77.94
Christalle,Bottrill,73427,95.61,77.21
Wells,Hendrichs,38072,24.09,46.68
Lenora,Birney,81554,89.16,66.05
Jilli,Waind,83655,67.01,46.89
Brunhilde,Corthes,76182,23.73,43.6
Gun,Matteucci,82867,95.79,78.03
Jesse,Cordner,97540,35.07,66.69
Judi,Turri,62838,92.36,25.98
Shoshanna,Janos,94310,73.71,86.2
Clare,Borham,19154,18.92,75.96
Lacee,Chippindale,34389,77.6,68.74
Gladys,Attwoull,77344,89.19,24.29
Flory,Devany,63888,38.35,36.46
Antonie,Willoway,92064,29.79,77.92
Rickard,Struthers,56259,52.96,35.42
Sutherlan,McNeilley,14702,52.02,56.19
Karlens,Kits,64338,23.99,69.08
Dusty,Artharg,84929,43.04,28.92
Jack,Covolini,41625,56.9,23.34
Renaud,Bendtsen,55195,81.04,80.51
Aurilia,Whiston,16493,91.37,28.83
Garner,Paszak,74592,47,52.56
Mirilla,Boag,77682,24.88,20.55
Timofei,Kubik,63720,43.02,51.02
Lilias,Esley,81461,34.27,34.01
Jodie,Wilkenson,23697,37.06,30.49
Gray,Rosoni,91337,23.78,36.26
Willis,Jiras,24354,45.8,21.82
Bearnard,Emerton,27096,37.21,75.88
Clarine,Holdforth,94663,57.9,49.3
Welsh,Jullian,68386,77.41,45.75
Annadiana,Mulford,58985,22.27,87.51
Lucienne,Kaming,97683,38.66,93.65
Daphene,Darragon,92237,28.94,67.62
Crichton,Brecknall,23994,54.73,49.1
Brandais,California,23928,90.98,57.25
Terrence,Pomeroy,46388,53.77,41.92
Gaby,Caughtry,67396,83.79,61.07
Toni,Gianilli,55150,73.69,20.91
Anton,Critchley,79833,96.13,94.56
Janifer,Dosedale,31938,19.56,20.24
Terra,Jiranek,38521,97.75,78.38
Lemmie,Brackley,69013,92.98,41.88
Benni,Hateley,96995,61.07,39.26
Edithe,Ottam,87325,45.67,80.86
Melantha,Grennan,32329,56.38,94.12
Elroy,Robardley,22878,59.64,33.17
Stephannie,Shirer,30551,21.68,67.24
Kile,Stegers,99778,92.14,47.41
Markos,Bawme,35869,13.15,56.7
Malcolm,Astle,93185,38.5,51.7
Estella,Hendin,79942,45.17,81.12
Ileana,Lages,40753,52.9,76.77
Byron,O'Flaherty,10311,91.17,80.38
Onida,Lax,27105,49.65,52.99
Lelia,Meecher,98852,87.64,91.58
Gayler,Durdy,37228,53.29,86.57
Gery,Peacock,12042,23.34,68.41
Shepard,Enoch,71855,54.73,50.48
Kenny,Leidl,41934,13.12,81.2
Trix,Spight,22505,85.69,19.14
Brooks,Jaher,54973,67.47,42.57
Sukey,D'Aulby,15258,15.07,47.8
Armand,Wainer,59392,24.69,30.6
Rodrick,Yarmouth,56442,50.42,86.44
Edlin,Mapston,43691,72.83,66.45
Christean,McIntosh,46982,22.57,62.25
Otto,Larvent,43310,83.21,49.79
Lek,Beadell,94340,97.74,61.86
Ramsey,Robben,79246,11,25.15
Micky,Philippeaux,89114,71.15,49.43
Magdalena,Heckney,42452,96.34,48.75
Fredra,Winstanley,87390,97.48,50.2
Loralie,Tringham,99140,51.06,63.33
Randene,Rains,44213,30.69,55.47
Gearard,McGrill,33906,60.67,23.71
Saba,Hillaby,37495,59.89,79.46
Xenia,Turfin,93442,69.6,62.46
Coraline,Pimme,90057,11.26,92.93
Quinlan,McKeney,99003,79.71,50.48
Demetria,Cawtheray,15884,76.5,85.8
Giovanna,McConnachie,71007,61.84,51
Gideon,Cottill,54097,62.24,64.19
Dael,Earey,59595,39.83,82.66
Harlie,Langer,30143,98.75,42.01
Kinsley,Swigger,57528,57.72,88.61
Alis,Turfs,81758,56.68,93.89
Martynne,Bussey,32822,75.41,26.47
Lynn,Lammert,10286,91.56,64.91
Matthew,Kerswell,30842,82.21,56.55
Diane-marie,Lusher,69541,65.34,49.11
Clarette,Burel,57790,50.29,83.4
Kore,Matonin,97216,78.61,68.65
Currey,De Clairmont,88472,78.43,96.25
Teirtza,Gabbatt,36726,76.8,73.06
Marty,Botright,71830,22.25,63.34
Grange,Esmead,91577,66.14,71.21
Irita,Matzeitis,88823,16.11,78.79
Ricca,Steinham,58835,83.78,27.12
Maryjo,Usherwood,42786,30.97,88.62
Ernest,Udell,85737,29.75,36.13
Emanuele,Panchin,35233,73.86,90.35
Mata,Bertouloume,58655,28.65,19.51
Cleo,Ismirnioglou,97988,44.44,47.86
Sydney,Loughlan,33847,12.2,82.78
Leontine,McCarver,53494,67.68,21.45
Kirsten,Gaddes,86254,93.34,42.49
Suzi,Polleye,86245,25.25,41.83
Heddie,Williamson,33049,90.06,93.48
Herrick,Blundell,40555,91.81,99.82
Scarface,Tankin,99840,69.1,25.19
Staffard,Belderson,74708,75.94,96.67
Riva,Euplate,47385,89.97,48.19
Heloise,Manifould,77398,36,60.63
Antin,Gartery,72248,81.61,98.05
Lin,Kardos,58709,30.75,31.2
Philis,Stillmann,81889,44.37,41.39
Ellynn,Skipsey,17653,21.36,57.84
Toiboid,Niblock,14195,70.11,87.87
Selby,Mayman,89212,20.27,60.28
Francene,Capponeer,90558,75.17,57.33
Ricky,Freebury,88123,17.79,31.92
Wynne,Orhtmann,65419,20.07,54.3
Bruce,McCudden,62015,41.84,30.1
Milt,Kepp,77846,91.1,72.28
Gianna,Scogin,56567,35.65,72.43
Stephine,McCaughey,25152,55.28,53.16
Frans,Bruggen,73755,85,42.66
Lynn,Lammas,78778,28.1,69.49
Quintin,Serrell,47186,17.4,23.13
Evangelin,Merryman,36731,26.77,80
Kyrstin,Prew,43344,22.03,66.17
Kasey,Lamanby,89868,12.09,52.33
Keary,Parmby,20360,15.49,42.21
Nicolette,Gillatt,29568,31.87,72.34
Julius,Turmel,71057,35.04,94.95
Gwynne,Moulson,24501,12.01,87.99
Arlin,Frankcomb,19644,89.44,27.01
Friedrick,McKenzie,80660,73.04,89.05
Elvis,Diperaus,28372,11.72,52.9
Olia,Woolmington,54146,17.66,66.99
Flor,Di Carlo,98017,24,75.36
Hillery,Giannassi,30171,88.53,44.22
Reynolds,Shingfield,44547,64.1,22.93
Laraine,Younie,28906,24.22,22.52
Rosemary,Stockwell,47327,33.9,54.1
Kirby,Coton,40136,21.45,65.71
Durand,Pollack,36946,35.43,38.91
Gabe,Ortiger,37044,23.9,68.76
Moe,Pietersen,41022,55.04,81.58
Wadsworth,Dargue,80580,42.95,50.83
Yvon,Faughnan,21172,16.01,34.47
Randal,Haryngton,70133,44.46,24.77
Gates,Daughton,76336,74.63,99.6
Elka,Peplay,94616,53.64,43.47
Edgard,Franzotto,72507,19.56,87.34
Neala,Birchner,51038,35.22,34.64
Vanni,Binnie,49421,91.7,73
Janine,Letterick,18841,10.97,19.81
Chrysler,Febre,13852,97.67,55.67
Cathyleen,Brayn,45761,49.19,49.39
Ingar,Rupel,23955,19.98,86.48
Benton,Broseman,56305,79.65,74.02
Fawne,Clewlow,46762,32.18,23.49
Lucio,Massie,77936,14.01,94.6
Magdalene,Shelmerdine,42078,88.28,22.32
Helge,Doul,39505,68.23,96.75
Reeta,Leivers,67512,61.92,81.64
Inger,Oene,35976,45.03,81.99
Iona,Garlinge,90385,66.24,76.6
Madalyn,Headrick,10210,64.08,86.05
Caren,Vaskov,37084,53.02,30.28
Emilee,Rillstone,93391,79.69,53.1
Lana,Fist,65562,93.35,31.55
Arch,MacInnes,74419,69.07,45.97
Cordey,Darbishire,41668,45.97,28.99
Bert,Darington,81415,43.37,49.41
Selestina,Bedbury,72273,69.01,24.29
Pietro,Horsey,95614,92.92,33.58
Charyl,Bolland,61624,60.74,71.76
Christoffer,Dunlop,59514,11.58,55.83
Aube,Jacquemy,61786,85.11,91.27
Kristoforo,Strippel,95084,23.74,49.5
Arden,McGooch,10273,89.23,36.2
Jordon,Andreone,67521,56.01,37.58
Maisey,Soares,68956,53.11,87.8
Bartolomeo,Gilroy,14233,49.71,92.73
Eirena,Karlsen,12564,89.54,96.44
Karmen,Standring,23823,90.18,19.09
Kirstin,Piell,60558,21.12,94.77
Darren,Jorge,26563,51.02,44.83
Bernhard,Roubottom,77788,42.95,58.55
Ginni,Casson,25479,14.3,30.48
Rosanna,Eccersley,12331,67.7,29.51
Portie,Harme,18562,68.43,91.01
Georgiana,Dance,15983,32.11,38.12
Koren,Roblett,77546,87.94,20.3
Ryley,Jesper,15485,59.75,51
Delbert,Streeton,85746,44.76,64.79
Tuckie,Hesbrook,58110,45.08,59.77
Immanuel,Woolaston,43530,11.54,55.37
Thorn,Karby,47930,46.06,22.34
Goddard,Friett,87022,41.59,30.01
Carmina,Gilliard,24510,91.47,64.33
Rolfe,Bowskill,65451,88.16,97.43
Pamela,Sitch,25694,79.24,98.3
Christa,Pierrepoint,73244,44.14,42.17
Daloris,De Vaar,21566,68.68,74.66
April,Pizer,43287,43.39,86.56
Nevil,Bushnell,57947,71.21,77.42
Katrine,Polo,11739,34.83,32.64
Helaine,Whitley,62046,33.23,49.82
Edie,Neilus,12306,40,61.52
Estele,Lyst,83806,83.61,31.42
Shanan,Oldaker,98077,40.66,75.51
Clio,Casel,95987,92.5,51.81
Felic,Assiratti,49303,17.79,56.72
Grata,Dutch,78467,68.57,77.97
Jory,Haggerstone,52656,73.66,80.12
Donny,Godfroy,71834,22.12,96.83
Piggy,Hurle,65765,56.36,59.99
Adey,McCague,64798,20.68,77.7
Brnaby,Barnwille,43390,16.5,59.75
Stavros,St. Clair,79662,37.76,87.55
Annora,Trustey,48144,73.13,56.54
Bernhard,Islep,44642,11.2,25.98
Craggy,Halden,22300,47.16,88.6
Konstantine,Sinderson,63126,32.03,39.82
Atalanta,Hasley,41767,84.94,79.06
Trevar,Watmough,49131,63.85,49.91
Elka,Tapsell,45720,13.32,41.78
Tobye,Corneil,45245,76.01,75.34
Nappie,Dignam,62709,38.59,42.34
Mel,Vorley,73455,24.92,43.8
Isaac,Iremonger,24405,45.48,26.79
Dina,Favey,95949,41.6,77.17
Analiese,Foddy,68696,45.23,83.47
Gonzalo,O'Fergus,69662,36.27,80.72
Donny,Colecrough,41581,61.45,22.3
Kirsti,Bartkiewicz,10749,69.21,78.06
Marji,Hrihorovich,58176,64.83,62.07
Adena,Yell,23330,88.6,85.39
Susanetta,Greschik,43689,71.71,97.52
Winny,Botler,51881,73.51,77.52
Sheelah,Stiling,78219,60.43,59.35
Bekki,Hollerin,98713,63.85,88.73
Josselyn,Corro,89522,22.86,65.5
Gracia,Oxtaby,26932,85.76,69.14
Abbe,Santer,10896,60.83,78.2
Kendall,Marke,64883,47.67,70.96
